program	transformation	lhs	rhs	text
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Lowercase wordâ—¦WhiteSpace""), -1))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Lowercase wordâ—¦WhiteSpace""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))))"	Socially Responsible It Management->Socially Responsible IT Management	Socially Responsible It Management	Socially Responsible IT Management	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Lowercase wordâ—¦WhiteSpace""), -1))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Lowercase wordâ—¦WhiteSpace""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))))] [Transformation: Socially Responsible It Management transforms to Socially Responsible IT Management]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(x)"	Socially Responsible IT Management->Socially Responsible It Management	Socially Responsible IT Management	Socially Responsible It Management	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(x)] [Transformation: Socially Responsible IT Management transforms to Socially Responsible It Management]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))"	"""Erbschloe, Michael""->Michael Erbschloe"	"""Erbschloe, Michael"""	Michael Erbschloe	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))] [Transformation: ""Erbschloe, Michael"" transforms to Michael Erbschloe]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))"	"Michael Erbschloe->""Erbschloe, Michael"""	Michael Erbschloe	"""Erbschloe, Michael"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))] [Transformation: Michael Erbschloe transforms to ""Erbschloe, Michael""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in let sharedParsedNumber = ParseNumber(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Number""), 1), RegexPositionRelative(x, RegexPair(""Number"", ""Îµ""), 1))), ""(',', , , '.', , False)"") in let sharedNumberFormat = ""(, , , , , (, , , '.', , False))"" in RangeConcat(RangeFormatNumber(RangeRoundNumber(sharedParsedNumber, ""(0, 1, Down)""), sharedNumberFormat), RangeConcat(RangeConstStr("", BK&amp;CD-ROM, pb, ""), RangeFormatNumber(RangeRoundNumber(sharedParsedNumber, ""(0, 1, UpOrNext)""), sharedNumberFormat))), ConstStr(""\"""")))))"	"""Excel 2000: A Professional Approach, by Tobias, Level 2: Expert""->""Excel 2000, BK&amp;CD-ROM, pb, 2001"""	"""Excel 2000: A Professional Approach, by Tobias, Level 2: Expert"""	"""Excel 2000, BK&amp;CD-ROM, pb, 2001"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in let sharedParsedNumber = ParseNumber(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Number""), 1), RegexPositionRelative(x, RegexPair(""Number"", ""Îµ""), 1))), ""(',', , , '.', , False)"") in let sharedNumberFormat = ""(, , , , , (, , , '.', , False))"" in RangeConcat(RangeFormatNumber(RangeRoundNumber(sharedParsedNumber, ""(0, 1, Down)""), sharedNumberFormat), RangeConcat(RangeConstStr("", BK&amp;CD-ROM, pb, ""), RangeFormatNumber(RangeRoundNumber(sharedParsedNumber, ""(0, 1, UpOrNext)""), sharedNumberFormat))), ConstStr(""\"""")))))] [Transformation: ""Excel 2000: A Professional Approach, by Tobias, Level 2: Expert"" transforms to ""Excel 2000, BK&amp;CD-ROM, pb, 2001""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), ConstStr("": A Professional Approach, by Tobias, Level 2: Expert\"""")))"	"""Excel 2000, BK&amp;CD-ROM, pb, 2001""->""Excel 2000: A Professional Approach, by Tobias, Level 2: Expert"""	"""Excel 2000, BK&amp;CD-ROM, pb, 2001"""	"""Excel 2000: A Professional Approach, by Tobias, Level 2: Expert"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), ConstStr("": A Professional Approach, by Tobias, Level 2: Expert\"""")))] [Transformation: ""Excel 2000, BK&amp;CD-ROM, pb, 2001"" transforms to ""Excel 2000: A Professional Approach, by Tobias, Level 2: Expert""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in x, ConstStr("", by Henry\"""")))"	"Software Project Management: A Real-World Guide to Success->""Software Project Management: A Real-World Guide to Success, by Henry"""	Software Project Management: A Real-World Guide to Success	"""Software Project Management: A Real-World Guide to Success, by Henry"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in x, ConstStr("", by Henry\"""")))] [Transformation: Software Project Management: A Real-World Guide to Success transforms to ""Software Project Management: A Real-World Guide to Success, by Henry""]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1)))"	"""Software Project Management: A Real-World Guide to Success, by Henry""->Software Project Management: A Real-World Guide to Success"	"""Software Project Management: A Real-World Guide to Success, by Henry"""	Software Project Management: A Real-World Guide to Success	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1)))] [Transformation: ""Software Project Management: A Real-World Guide to Success, by Henry"" transforms to Software Project Management: A Real-World Guide to Success]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))"	"Joel Henry->""Henry, Joel"""	Joel Henry	"""Henry, Joel"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))] [Transformation: Joel Henry transforms to ""Henry, Joel""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))"	"""Henry, Joel""->Joel Henry"	"""Henry, Joel"""	Joel Henry	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))] [Transformation: ""Henry, Joel"" transforms to Joel Henry]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1))))"	The AIX Survival Guide->AIX SURVIVAL GUIDE	The AIX Survival Guide	AIX SURVIVAL GUIDE	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1))))] [Transformation: The AIX Survival Guide transforms to AIX SURVIVAL GUIDE]"
"Concat(ConstStr(""The ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))))))"	AIX SURVIVAL GUIDE->The AIX Survival Guide	AIX SURVIVAL GUIDE	The AIX Survival Guide	"[Program: Concat(ConstStr(""The ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))))))] [Transformation: AIX SURVIVAL GUIDE transforms to The AIX Survival Guide]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Camel Case""), 1), RegexPositionRelative(x, RegexPair(""Camel Case"", ""Îµ""), 1)))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""ALL CAPS""), 1), RegexPositionRelative(x, RegexPair(""ALL CAPS"", ""Îµ""), 1))), Concat(ConstStr(""NDRE""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""ALL CAPS""), 1), RegexPositionRelative(x, RegexPair(""ALL CAPS"", ""Îµ""), 1))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""ALL CAPS""), -1), RegexPositionRelative(x, RegexPair(""ALL CAPS"", ""Îµ""), -1))), ConstStr(""\""""))))))))"	"A. Siegert->""SIEGERT, ANDREAS"""	A. Siegert	"""SIEGERT, ANDREAS"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Camel Case""), 1), RegexPositionRelative(x, RegexPair(""Camel Case"", ""Îµ""), 1)))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""ALL CAPS""), 1), RegexPositionRelative(x, RegexPair(""ALL CAPS"", ""Îµ""), 1))), Concat(ConstStr(""NDRE""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""ALL CAPS""), 1), RegexPositionRelative(x, RegexPair(""ALL CAPS"", ""Îµ""), 1))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""ALL CAPS""), -1), RegexPositionRelative(x, RegexPair(""ALL CAPS"", ""Îµ""), -1))), ConstStr(""\""""))))))))] [Transformation: A. Siegert transforms to ""SIEGERT, ANDREAS""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Upper Case"", ""Îµ""), 1))), Concat(ConstStr("". ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))))))"	"""SIEGERT, ANDREAS""->A. Siegert"	"""SIEGERT, ANDREAS"""	A. Siegert	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Upper Case"", ""Îµ""), 1))), Concat(ConstStr("". ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))))))] [Transformation: ""SIEGERT, ANDREAS"" transforms to A. Siegert]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in x, ConstStr("", by Joseph J. Lazzaro\"""")))"	"Adapting PCs for Disabilities->""Adapting PCs for Disabilities, by Joseph J. Lazzaro"""	Adapting PCs for Disabilities	"""Adapting PCs for Disabilities, by Joseph J. Lazzaro"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in x, ConstStr("", by Joseph J. Lazzaro\"""")))] [Transformation: Adapting PCs for Disabilities transforms to ""Adapting PCs for Disabilities, by Joseph J. Lazzaro""]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1)))"	"""Adapting PCs for Disabilities, by Joseph J. Lazzaro""->Adapting PCs for Disabilities"	"""Adapting PCs for Disabilities, by Joseph J. Lazzaro"""	Adapting PCs for Disabilities	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1)))] [Transformation: ""Adapting PCs for Disabilities, by Joseph J. Lazzaro"" transforms to Adapting PCs for Disabilities]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), ConstStr("".\"""")))))"	"Joseph J. Lazzaro->""Lazzaro, Joseph J."""	Joseph J. Lazzaro	"""Lazzaro, Joseph J."""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), ConstStr("".\"""")))))] [Transformation: Joseph J. Lazzaro transforms to ""Lazzaro, Joseph J.""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), Concat(ConstStr("". ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))"	"""Lazzaro, Joseph J.""->Joseph J. Lazzaro"	"""Lazzaro, Joseph J."""	Joseph J. Lazzaro	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), Concat(ConstStr("". ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))] [Transformation: ""Lazzaro, Joseph J."" transforms to Joseph J. Lazzaro]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RelativePosition(x, 25))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1))))"	Clustering Windows Servers: A Road Map for Enterprise Solutions->Clustering Windows Server: A Road Map for Enterprise Solutions	Clustering Windows Servers: A Road Map for Enterprise Solutions	Clustering Windows Server: A Road Map for Enterprise Solutions	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RelativePosition(x, 25))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1))))] [Transformation: Clustering Windows Servers: A Road Map for Enterprise Solutions transforms to Clustering Windows Server: A Road Map for Enterprise Solutions]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Lowercase wordâ—¦Colon""), 1))), Concat(ConstStr(""ervers: ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Colonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))))"	Clustering Windows Server: A Road Map for Enterprise Solutions->Clustering Windows Servers: A Road Map for Enterprise Solutions	Clustering Windows Server: A Road Map for Enterprise Solutions	Clustering Windows Servers: A Road Map for Enterprise Solutions	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Lowercase wordâ—¦Colon""), 1))), Concat(ConstStr(""ervers: ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Colonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))))] [Transformation: Clustering Windows Server: A Road Map for Enterprise Solutions transforms to Clustering Windows Servers: A Road Map for Enterprise Solutions]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Ampersand""), 1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))"	"""Mauler, Gary &amp; Milton Beebe""->Gary Mauler"	"""Mauler, Gary &amp; Milton Beebe"""	Gary Mauler	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Ampersand""), 1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))] [Transformation: ""Mauler, Gary &amp; Milton Beebe"" transforms to Gary Mauler]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr("" &amp; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""ALL CAPS""), -1), RegexPositionRelative(x, RegexPair(""ALL CAPS"", ""Îµ""), -1))), ConstStr(""ilton Beebe\"""")))))))"	"Gary Mauler->""Mauler, Gary &amp; Milton Beebe"""	Gary Mauler	"""Mauler, Gary &amp; Milton Beebe"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr("" &amp; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""ALL CAPS""), -1), RegexPositionRelative(x, RegexPair(""ALL CAPS"", ""Îµ""), -1))), ConstStr(""ilton Beebe\"""")))))))] [Transformation: Gary Mauler transforms to ""Mauler, Gary &amp; Milton Beebe""]"
